Unnamed: 0,district,roomnum,hall,AREA,C_floor,floor_num,school,subway,per_price
228982634,guangming,4,2,107.35,low,31,0,0,5.9525
227772023,guangming,3,2,79.8,middle,17,1,0,5.9524
228314912,guangming,2,2,70.65,middle,33,0,0,5.9448
228433304,guangming,4,2,89.0,low,26,0,0,5.9326
228706686,guangming,3,2,79.0,middle,31,0,0,5.9241
228885159,guangming,3,2,79.0,middle,31,0,0,5.9241
228888024,guangming,3,2,79.0,middle,31,0,0,5.9241
228640511,guangming,4,2,88.0,high,39,0,0,5.9091
226510550,guangming,3,2,71.08,low,32,0,0,5.9088
228659985,guangming,2,1,44.9,high,17,1,0,5.902
228658974,guangming,2,1,44.9,high,17,1,0,5.902
228859801,guangming,3,2,71.2,middle,32,0,0,5.8989
227859340,guangming,3,2,88.24,high,39,0,0,5.893
228044971,guangming,1,1,44.98,middle,17,1,0,5.8915
228692579,guangming,3,2,84.56,high,33,0,0,5.8893
228202490,guangming,4,2,86.6,high,32,1,0,5.8891
228991881,guangming,3,2,79.23,middle,31,0,0,5.869
227687890,guangming,4,2,85.2,middle,26,1,0,5.8685
228875437,guangming,4,2,104.0,middle,34,0,0,5.8654
228095848,guangming,4,2,104.0,high,34,0,0,5.8654
228979088,guangming,4,2,104.0,high,34,0,0,5.8654
228021937,guangming,2,2,83.61,middle,14,1,0,5.8605
227864830,guangming,3,2,89.0,middle,38,0,0,5.8427
228985577,guangming,3,2,89.0,middle,31,0,0,5.8427
227483466,guangming,3,2,89.0,low,31,0,0,5.8427
228247487,guangming,3,2,89.0,low,39,0,0,5.8427
227573228,guangming,3,1,82.29,middle,15,1,0,5.833
228339282,guangming,3,2,86.8,low,30,1,0,5.8295
228188933,guangming,2,1,67.0,middle,40,1,0,5.8209
228930564,guangming,2,1,67.0,middle,40,1,0,5.8209
226542178,guangming,4,2,86.81,high,17,1,0,5.8173
228028606,guangming,3,2,80.0,low,31,0,0,5.8125
228862795,guangming,3,2,80.0,low,31,0,0,5.8125
228904276,guangming,3,2,80.0,low,31,0,0,5.8125
228965466,guangming,3,2,80.52,high,31,0,0,5.8122
228540300,guangming,3,2,80.52,high,31,0,0,5.8122
228104576,guangming,6,3,257.9,high,3,1,0,5.8085
228885218,guangming,3,2,79.2,high,31,0,0,5.8081
228255855,guangming,3,2,79.2,high,31,0,0,5.8081
228965610,guangming,3,2,79.22,high,31,0,0,5.8066
228716763,guangming,3,2,89.6,high,16,1,0,5.8036
227935245,guangming,2,2,67.26,high,40,1,0,5.7984
228731088,guangming,2,2,67.26,high,40,1,0,5.7984
228969959,guangming,3,2,79.0,high,32,0,0,5.7975
227431403,guangming,4,2,119.1,middle,39,0,0,5.7935
228535710,guangming,3,2,86.0,middle,32,0,0,5.7907
228766914,guangming,3,2,79.5,high,18,1,0,5.7862
228886467,guangming,3,2,81.25,middle,32,0,0,5.7846
228980117,guangming,3,2,81.25,middle,32,0,0,5.7846
228342980,guangming,5,3,242.24,low,16,1,0,5.7794
228412084,guangming,1,1,27.0,middle,33,0,0,5.7778
228110380,guangming,3,2,89.0,low,33,0,0,5.7753
228728623,guangming,4,3,104.0,middle,18,0,0,5.7692
226996961,guangming,4,2,152.57,middle,18,1,0,5.7678
226747090,guangming,4,2,152.6,middle,18,1,0,5.7667
228222119,guangming,3,2,88.47,high,32,0,0,5.7647
228639426,guangming,3,2,71.2,middle,32,0,0,5.7584
228973361,guangming,3,2,79.12,middle,33,0,0,5.7508
228888111,guangming,2,2,80.0,high,1,1,0,5.75
228952755,guangming,3,1,86.64,high,36,1,0,5.7479
228980730,guangming,3,1,86.64,high,36,1,0,5.7479
228412310,guangming,2,2,67.0,middle,40,1,0,5.7463
228133529,guangming,2,2,81.8,middle,32,1,0,5.7457
227598169,guangming,2,2,47.0,middle,21,0,0,5.7447
228725559,guangming,3,2,79.23,low,31,0,0,5.7428
228898598,guangming,3,2,79.23,low,31,0,0,5.7428
227354938,guangming,3,2,79.23,low,31,0,0,5.7428
228572268,guangming,4,2,87.1,low,32,1,0,5.7405
227004040,guangming,7,5,257.9,low,15,1,0,5.7387
228866664,guangming,4,2,86.4,low,16,1,0,5.7292
228033026,guangming,5,2,241.12,low,16,1,0,5.7233
228825629,guangming,5,2,174.77,middle,18,1,0,5.7218
228033239,guangming,5,2,174.77,middle,18,1,0,5.7218
228992493,guangming,5,2,174.77,middle,18,1,0,5.7218
228535766,guangming,3,2,89.0,middle,32,0,0,5.7191
228597328,guangming,2,2,42.0,low,38,0,0,5.7143
228776363,guangming,5,2,175.0,middle,18,1,0,5.7143
228497654,guangming,5,2,241.52,low,16,1,0,5.7138
228922765,guangming,5,2,241.52,low,16,1,0,5.7138
227269448,guangming,5,2,241.52,low,16,1,0,5.7138
228992361,guangming,3,2,88.54,high,32,0,0,5.7036
228624026,guangming,4,2,103.49,low,25,0,0,5.701
226694921,guangming,3,2,79.0,high,24,0,0,5.6962
228969643,guangming,2,2,71.28,low,32,0,0,5.6958
228917460,guangming,3,2,87.8,middle,28,1,0,5.6948
226720003,guangming,3,2,72.0,middle,33,0,0,5.6944
228446329,guangming,5,3,242.52,low,16,1,0,5.6903
227705664,guangming,5,3,242.52,low,16,1,0,5.6903
228102537,guangming,3,2,88.0,high,33,0,0,5.6818
228530562,guangming,3,2,79.2,low,31,0,0,5.6818
228365090,guangming,3,2,88.0,low,28,1,0,5.6818
228102487,guangming,3,2,89.0,low,31,1,0,5.6742
228539093,guangming,3,2,89.0,low,31,1,0,5.6742
228708573,guangming,3,2,88.5,middle,32,1,0,5.6723
228708586,guangming,3,2,88.5,middle,32,1,0,5.6723
228683806,guangming,2,2,45.0,low,40,0,0,5.6667
227902506,guangming,2,2,76.05,middle,17,1,0,5.6542
228866670,guangming,3,2,88.5,middle,15,1,0,5.6497
226638057,guangming,3,2,88.54,high,32,0,0,5.6472
228497839,guangming,4,2,88.57,middle,32,1,0,5.6453
228991152,guangming,3,2,86.8,middle,29,1,0,5.6452
228993975,guangming,3,2,86.8,middle,29,1,0,5.6452
225905398,guangming,3,2,79.8,middle,17,1,0,5.6391
228541920,guangming,3,2,81.25,high,32,0,0,5.6369
228974465,guangming,2,2,61.21,high,17,1,0,5.6363
227537546,guangming,2,1,61.24,high,17,1,0,5.6336
227203092,guangming,3,2,79.0,middle,32,0,0,5.6329
228839584,guangming,4,2,103.0,high,36,0,0,5.6311
228731191,guangming,3,2,86.8,middle,30,1,0,5.6221
228506590,guangming,3,2,89.0,high,32,0,0,5.618
228854769,guangming,3,2,89.0,low,35,0,0,5.618
228840195,guangming,3,2,89.0,middle,40,0,0,5.618
228624081,guangming,3,2,89.0,middle,10,1,0,5.618
227537318,guangming,3,2,89.0,middle,39,0,0,5.618
228839661,guangming,3,2,89.0,low,34,0,0,5.618
228766222,guangming,3,2,89.0,middle,40,0,0,5.618
227431465,guangming,3,2,87.27,low,31,0,0,5.6148
228889169,guangming,3,2,88.54,high,32,0,0,5.6133
228706107,guangming,3,2,88.54,high,32,0,0,5.6133
227904141,guangming,3,2,89.12,low,32,1,0,5.6104
226978345,guangming,3,2,89.12,middle,33,1,0,5.6104
228988636,guangming,2,2,71.3,middle,32,0,0,5.6101
228969997,guangming,3,2,89.14,high,32,0,0,5.6092
228970472,guangming,3,2,89.14,high,32,0,0,5.6092
228965474,guangming,2,2,71.4,low,33,0,0,5.6022
228412117,guangming,3,2,87.5,middle,29,0,0,5.6
228470438,guangming,3,2,87.5,middle,29,0,0,5.6
228728185,guangming,1,1,30.0,middle,29,0,0,5.6
228540524,guangming,2,2,71.43,low,33,0,0,5.5999
228514283,guangming,2,2,71.43,low,33,0,0,5.5999
228752553,guangming,4,2,86.64,low,40,1,0,5.5979
228342989,guangming,6,2,268.0,high,14,1,0,5.597
228970951,guangming,5,2,178.67,middle,33,1,0,5.5969
228844205,guangming,3,2,81.3,high,32,0,0,5.5966
227717405,guangming,2,2,76.05,high,17,1,0,5.5884
227622789,guangming,2,2,76.1,high,17,1,0,5.5848
227229981,guangming,3,2,71.68,high,33,0,0,5.5804
228219292,guangming,3,2,89.6,middle,15,1,0,5.5804
228987623,guangming,3,2,87.84,low,32,0,0,5.5783
226436163,guangming,3,2,104.0,middle,22,0,0,5.5769
228972541,guangming,3,2,104.0,middle,22,0,0,5.5769
228825531,guangming,5,3,242.09,high,15,1,0,5.5764
227431126,guangming,1,1,44.86,middle,17,1,0,5.5729
228540211,guangming,2,2,71.43,low,33,0,0,5.5719
228834913,guangming,2,2,70.0,low,32,0,0,5.5714
228046370,guangming,4,2,89.8,high,31,1,0,5.5679
227155818,guangming,3,2,89.0,middle,31,0,0,5.5618
228969910,guangming,2,2,71.92,high,32,0,0,5.5617
227722841,guangming,3,2,82.73,high,33,0,0,5.5603
228988103,guangming,3,2,86.0,low,31,1,0,5.5581
227324206,guangming,3,2,81.0,middle,33,0,0,5.5556
228991063,guangming,1,1,45.0,middle,17,1,0,5.5556
226996978,guangming,3,2,72.0,middle,33,0,0,5.5556
227537397,guangming,3,2,79.23,low,31,0,0,5.5535
226721603,guangming,3,2,81.13,low,33,0,0,5.5467
228684616,guangming,4,2,110.0,high,30,1,0,5.5455
228485333,guangming,3,2,89.5,middle,28,1,0,5.5419
228514960,guangming,2,2,71.3,high,32,0,0,5.54
228211572,guangming,2,2,71.3,high,32,0,0,5.54
228559223,guangming,2,2,71.3,high,32,0,0,5.54
227955715,guangming,2,2,65.0,low,32,1,0,5.5385
228949145,guangming,2,2,65.0,low,32,1,0,5.5385
228972937,guangming,2,2,65.0,low,32,1,0,5.5385
228965785,guangming,3,2,112.94,middle,15,1,0,5.5339
228803508,guangming,3,2,90.06,high,16,1,0,5.5296
228470276,guangming,4,2,114.0,high,18,1,0,5.5263
228805423,guangming,2,2,72.4,low,32,0,0,5.5249
228961775,guangming,4,2,105.0,low,34,0,0,5.5238
227016259,guangming,4,2,105.0,middle,30,0,0,5.5238
227016121,guangming,2,2,61.2,high,17,1,0,5.5229
228824047,guangming,2,2,76.05,high,17,1,0,5.5227
228460198,guangming,2,2,67.0,high,40,1,0,5.5224
228777417,guangming,3,2,79.0,middle,39,0,0,5.519
228766482,guangming,2,2,54.0,middle,32,0,0,5.5185
228336947,guangming,3,2,87.0,low,28,1,0,5.5172
226802242,guangming,3,2,79.8,high,17,1,0,5.5138
227540165,guangming,1,1,44.98,middle,17,1,0,5.5136
228879225,guangming,1,1,44.98,middle,17,1,0,5.5136
228598501,guangming,3,2,79.82,high,39,0,0,5.5124
228965532,guangming,3,2,71.68,low,33,0,0,5.5106
228751560,guangming,3,2,84.42,low,18,1,0,5.5082
228738477,guangming,3,2,89.0,low,32,0,0,5.5056
228803531,guangming,4,2,89.0,middle,28,1,0,5.5056
228992131,guangming,3,2,89.0,high,30,0,0,5.5056
228949117,guangming,3,2,88.1,high,24,0,0,5.5051
228955947,guangming,3,2,88.1,high,24,0,0,5.5051
228501301,guangming,2,2,71.8,high,32,0,0,5.5014
228800550,guangming,2,2,71.8,high,32,0,0,5.5014
227430756,guangming,2,2,67.26,high,40,0,0,5.501
227901734,guangming,2,2,67.26,middle,40,1,0,5.501
228794346,guangming,2,2,81.0,middle,32,1,0,5.5
227596577,guangming,3,2,89.1,high,32,1,0,5.4994
228923072,guangming,4,2,88.2,high,30,1,0,5.4989
228917509,guangming,6,4,265.0,high,4,1,0,5.4981
228283054,guangming,4,2,88.22,high,30,1,0,5.4976
227426897,guangming,4,2,73.7,high,6,1,0,5.4953
228970145,guangming,3,2,89.18,low,31,0,0,5.4945
228292550,guangming,3,2,89.18,low,32,0,0,5.4945
228912967,guangming,3,2,89.19,high,33,0,0,5.4939
228512694,guangming,5,2,174.77,middle,16,1,0,5.4929
228428763,guangming,5,2,174.77,middle,16,1,0,5.4929
228954790,guangming,3,2,79.2,low,31,0,0,5.4924
228973234,guangming,3,2,79.2,middle,39,0,0,5.4924
227640869,guangming,4,2,87.4,high,17,1,0,5.492
228341398,guangming,3,2,88.5,middle,32,1,0,5.4802
226510595,guangming,3,2,89.14,middle,32,0,0,5.4745
228737418,guangming,3,2,60.0,low,45,0,0,5.474
228323876,guangming,2,2,64.9,high,34,0,0,5.47
228652556,guangming,2,1,70.6,middle,32,0,0,5.4674
228718604,guangming,2,1,70.6,middle,32,0,0,5.4674
228918991,guangming,3,2,87.83,low,32,0,0,5.4651
228912676,guangming,3,2,87.83,low,32,0,0,5.4651
227249617,guangming,3,2,82.4,middle,16,1,0,5.4612
228730054,guangming,4,2,88.9,high,40,1,0,5.4556
227191863,guangming,4,2,88.9,high,40,1,0,5.4556
228982029,guangming,3,2,88.0,low,34,0,0,5.4545
228977638,guangming,3,2,88.0,low,33,0,0,5.4545
228847235,guangming,3,2,88.0,middle,33,0,0,5.4545
228142321,guangming,4,2,88.0,high,30,1,0,5.4545
228847234,guangming,3,2,88.0,middle,33,0,0,5.4545
228530224,guangming,4,2,130.0,low,32,1,0,5.4538
228530221,guangming,4,2,130.0,low,32,1,0,5.4538
228969557,guangming,3,2,79.23,high,31,0,0,5.4525
228566953,guangming,1,2,46.22,low,34,0,0,5.4522
228735620,guangming,4,2,150.42,middle,14,1,0,5.4514
228093939,guangming,3,2,79.8,middle,17,1,0,5.4511
228774684,guangming,3,2,89.0,low,32,0,0,5.4494
227435270,guangming,5,3,242.24,low,16,1,0,5.4491
228188952,guangming,3,2,79.0,middle,32,0,0,5.443
228955279,guangming,3,2,88.26,middle,32,0,0,5.4385
227953346,guangming,4,2,103.0,high,35,0,0,5.4369
228639506,guangming,2,2,69.9,low,30,1,0,5.4363
228888122,guangming,2,1,45.1,high,17,1,0,5.4324
227985192,guangming,2,2,71.8,high,32,0,0,5.4318
227270990,guangming,3,2,79.2,low,31,0,0,5.4293
228977731,guangming,3,2,79.2,high,31,0,0,5.4293
228987049,guangming,3,2,79.23,middle,32,0,0,5.4272
227158026,guangming,3,2,79.23,low,31,0,0,5.4272
226510367,guangming,2,2,67.26,low,40,1,0,5.4267
227649376,guangming,3,2,89.6,high,16,1,0,5.4241
227899544,guangming,3,2,88.5,middle,17,1,0,5.4237
228613038,guangming,3,2,83.0,middle,14,1,0,5.4217
226661117,guangming,3,2,88.6,low,28,1,0,5.4176
228960945,guangming,4,2,88.7,high,30,1,0,5.4115
227903809,guangming,2,2,73.0,middle,32,0,0,5.411
228825664,guangming,5,2,181.34,high,15,1,0,5.4042
228863247,guangming,3,2,83.3,low,33,0,0,5.4022
228369440,guangming,3,2,83.3,low,33,0,0,5.4022
228640676,guangming,3,2,83.3,high,33,0,0,5.4022
228507271,guangming,3,2,88.9,high,32,0,0,5.3993
228877983,guangming,3,2,79.3,high,31,0,0,5.3972
228686919,guangming,4,2,88.99,high,31,1,0,5.3939
228470692,guangming,3,2,89.0,low,33,0,0,5.3933
228841718,guangming,3,2,89.0,low,32,0,0,5.3933
228721124,guangming,3,2,89.0,low,34,0,0,5.3933
228514710,guangming,3,2,89.0,high,33,0,0,5.3933
228096006,guangming,3,2,89.0,low,34,0,0,5.3933
228899553,guangming,3,2,89.0,high,33,0,0,5.3933
227205105,guangming,3,2,89.0,low,32,0,0,5.3933
227617548,guangming,3,2,89.0,low,32,0,0,5.3933
228848741,guangming,3,2,89.0,low,32,0,0,5.3933
228984941,guangming,3,2,79.0,low,32,0,0,5.3924
228933845,guangming,3,2,87.21,low,30,1,0,5.3893
228970487,guangming,3,2,87.21,low,30,1,0,5.3893
